日期,市场,公司名称,成本价,当前价,pos/cost,pos/curr,盈亏%,持有数量,投入(万),当前(万),现金(万),收益(万),收益率(%)
2026/1/2,CN,中矿资源,¥30.9,¥78.55,,80.2%,154.5%,25600,79.0,201.1,,,
2026/1/2,US,传奇生物,$26.1,$21.74,,16.5%,-16.8%,2724,49.7,41.4,,,
2026/1/2,HK,再鼎医药,HK$14.3,HK$13.6,,1.9%,-5.0%,4000,5.1,4.9,,,
2026/1/2,US,QQQ270115_300P,$3.3,$2.40,,1.7%,-27.2%,2500,5.8,4.2,,,
2026/1/2,汇总,,,,,,,,,,1.7,0,0.0%

2026/3/10,CN,中矿资源,¥29.6,¥80.13,54.8%,77.5%,170.3%,24900,73.8,199.5,,,
2026/3/10,US,传奇生物,$25.3,$19.14,37.0%,14.6%,-24.3%,2868,49.8,37.7,,,
2026/3/10,HK,再鼎医药,HK$14.3,HK$15.1,8.2%,4.5%,5.3%,8800,11.0,11.6,,,
2026/3/10,CN,2605C14000,¥10800.00,¥10800.00,6.4%,3.4%,0.0%,8,8.6,8.6,,,
2026/3/10,汇总,,,,,,,,,,0.0,-5.5,-2.14%

2026/3/21,CN,中矿资源,¥31.0,¥67.80,29.7%,54.0%,118.7%,16600,51.5,112.5,,,
2026/3/21,US,传奇生物,$27.2,$17.41,23.9%,12.7%,-36.0%,2200,41.3,26.4,,,
2026/3/21,CN,LC2701,¥160000.00,,23.1%,14.4%,,5,40.0,30.0,,,
2026/3/21,US,SQQQ,$75.0,$80.25,8.4%,7.4%,7.0%,280,14.5,15.5,,,
2026/3/21,US,SOXS,HK$38.0,$40.66,2.7%,2.4%,7.0%,175,4.6,4.9,,,
2026/3/21,HK,天齐锂业,HK$43.5,HK$40.5,18.6%,14.4%,-7.0%,8400,32.2,29.9,,,
2026/3/21,CN,2605C14000,¥10800.00,¥0.00,5.0%,5.0%,0,8,8.6,8.6,,,
2026/3/21,汇总,,,,,,,,,,-11.0,-54.7,-21.29%

2026/3/25,CN,中矿资源,¥31.0,¥64.32,28.4%,48.4%,107.5%,16600,51.5,106.8,,,
2026/3/25,CN,LC2701,¥160000.00,,22.1%,16.3%,,5,40.0,36.0,,,
2026/3/25,CN,2605C14000,¥10800.00,¥14000.00,4.8%,5.1%,29.6%,8,8.6,11.2,,,
2026/3/25,HK,天齐锂业,HK$43.5,HK$45.0,17.4%,14.8%,3.4%,8200,31.5,32.6,,,
2026/3/25,US,传奇生物,$24.6,$17.09,28.1%,16.0%,-30.5%,3000,50.9,35.4,,,
2026/3/25,汇总,,,,,,,,,,-1.3,-42.4,-16.52%

2026/3/26,CN,中矿资源,¥31.0,¥68.22,28.4%,49.3%,120.1%,16600,51.5,113.2,,,
2026/3/26,CN,LC2701,¥16.0,¥15.7,22.1%,17.1%,-1.9%,5,40.0,39.3,,,
2026/3/26,CN,2605C14000,¥1.08,¥1.20,4.8%,4.2%,11.1%,8,8.6,9.6,,,
2026/3/26,HK,天齐锂业,HK$43.5,HK$45.0,17.4%,14.2%,3.4%,8200,31.5,32.6,,,
2026/3/26,US,传奇生物,$24.6,$17.60,28.1%,15.9%,-28.5%,3000,51.0,36.5,,,
2026/3/26,汇总,,,,,,,,,,-1.3,-33.2,-12.92%

2026/3/27,CN,中矿资源,¥31.0,¥72.76,27.0%,48.6%,134.7%,16600,51.5,120.8,,,
2026/3/27,CN,LC2701,¥16.0,¥16.3,21.0%,16.4%,1.9%,5,40.0,40.8,,,
2026/3/27,HK,天齐锂业,HK$43.5,HK$47.1,16.5%,13.7%,8.1%,8200,31.5,34.1,,,
2026/3/27,US,传奇生物,$24.6,$17.49,26.8%,14.6%,-28.9%,3000,51.0,36.3,,,
2026/3/27,汇总,,,,,,,,,,18.0,-16.9,-6.56%
